DANE,Department,Deparment_DANE,Year,Month,Deparment_Month,Year_month,Period,DANE_period,DANE_Department_Month,DANE_year,DANE_Year_Month,MPI,altitude,forest,deforest,fire,HFP,mining,Total_pob,coca,temperature,rainfall,vector,cases,sir,excess
15720,15,1515720,2021,5,155,2021-5,173,15720005,15720155,157202021,15720-2021-5,51.6,1600,1.241078821,0,0.155134853,4.922237626,0.76754386,2168,0,12.8990723,8.556203,0,0,0,0
15720,15,1515720,2021,6,156,2021-6,174,15720006,15720156,157202021,15720-2021-6,51.6,1600,1.241078821,0,0.155134853,4.922237626,0.76754386,2168,0,12.5887695,4.824533,0,0,0,0
15720,15,1515720,2021,7,157,2021-7,175,15720007,15720157,157202021,15720-2021-7,51.6,1600,1.241078821,0,0.155134853,4.922237626,0.76754386,2168,0,12.3880859,3.964204,0,0,0,0
15720,15,1515720,2021,8,158,2021-8,176,15720008,15720158,157202021,15720-2021-8,51.6,1600,1.241078821,0,0.155134853,4.922237626,0.76754386,2168,0,12.553125,4.219578,0,0,0,0
15720,15,1515720,2021,9,159,2021-9,177,15720009,15720159,157202021,15720-2021-9,51.6,1600,1.241078821,0,0.155134853,4.922237626,0.76754386,2168,0,12.8480469,4.432892,0,0,0,0
15720,15,1515720,2021,10,1510,2021-10,178,15720010,157201510,157202021,15720-2021-10,51.6,1600,1.241078821,0,0.155134853,4.922237626,0.76754386,2168,0,13.1893555,5.592898,0,0,0,0
15720,15,1515720,2021,11,1511,2021-11,179,15720011,157201511,157202021,15720-2021-11,51.6,1600,1.241078821,0,0.155134853,4.922237626,0.76754386,2168,0,13.0702148,3.419201,0,0,0,0
15720,15,1515720,2021,12,1512,2021-12,180,15720012,157201512,157202021,15720-2021-12,51.6,1600,1.241078821,0,0.155134853,4.922237626,0.76754386,2168,0,13.1397949,3.414035,0,0,0,0
25181,25,2525181,2021,1,251,2021-1,169,25181001,25181251,251812021,25181-2021-1,22.5,1600,17.9962749,0,0.117622712,9.185253966,0.169491525,11986,0,12.0882813,1.243065,0.333333333,0,0,0
25181,25,2525181,2021,2,252,2021-2,170,25181002,25181252,251812021,25181-2021-2,22.5,1600,17.9962749,0,0.117622712,9.185253966,0.169491525,11986,0,12.6939941,4.764407,0.333333333,0,0,0
25181,25,2525181,2021,3,253,2021-3,171,25181003,25181253,251812021,25181-2021-3,22.5,1600,17.9962749,0,0.117622712,9.185253966,0.169491525,11986,0,11.917627,10.032749,0.333333333,0,0,0
25181,25,2525181,2021,4,254,2021-4,172,25181004,25181254,251812021,25181-2021-4,22.5,1600,17.9962749,0,0.117622712,9.185253966,0.169491525,11986,0,12.2320801,6.103236,0.333333333,0,0,0
25181,25,2525181,2021,5,255,2021-5,173,25181005,25181255,251812021,25181-2021-5,22.5,1600,17.9962749,0,0.117622712,9.185253966,0.169491525,11986,0,12.1666504,7.06377,0.333333333,0,0,0
25181,25,2525181,2021,6,256,2021-6,174,25181006,25181256,251812021,25181-2021-6,22.5,1600,17.9962749,0,0.117622712,9.185253966,0.169491525,11986,0,11.8038574,3.877508,0.333333333,0,0,0
25181,25,2525181,2021,7,257,2021-7,175,25181007,25181257,251812021,25181-2021-7,22.5,1600,17.9962749,0,0.117622712,9.185253966,0.169491525,11986,0,11.3885742,3.365688,0.333333333,0,0,0
25181,25,2525181,2021,8,258,2021-8,176,25181008,25181258,251812021,25181-2021-8,22.5,1600,17.9962749,0,0.117622712,9.185253966,0.169491525,11986,0,11.8646484,3.508849,0.333333333,0,0,0
25181,25,2525181,2021,9,259,2021-9,177,25181009,25181259,251812021,25181-2021-9,22.5,1600,17.9962749,0,0.117622712,9.185253966,0.169491525,11986,0,11.9068848,3.796985,0.333333333,0,0,0
25181,25,2525181,2021,10,2510,2021-10,178,25181010,251812510,251812021,25181-2021-10,22.5,1600,17.9962749,0,0.117622712,9.185253966,0.169491525,11986,0,12.3121582,5.078954,0.333333333,0,0,0
25181,25,2525181,2021,11,2511,2021-11,179,25181011,251812511,251812021,25181-2021-11,22.5,1600,17.9962749,0,0.117622712,9.185253966,0.169491525,11986,0,12.3321777,4.242189,0.333333333,0,0,0
25181,25,2525181,2021,12,2512,2021-12,180,25181012,251812512,251812021,25181-2021-12,22.5,1600,17.9962749,0,0.117622712,9.185253966,0.169491525,11986,0,12.6258789,3.216949,0.333333333,0,0,0
25807,25,2525807,2021,1,251,2021-1,169,25807001,25807251,258072021,25807-2021-1,52.3,1600,8.11074999,0,0.450597222,7.110500927,0.290697674,3415,0,14.6732422,0.852606,11.49425287,0,0,0
25807,25,2525807,2021,2,252,2021-2,170,25807002,25807252,258072021,25807-2021-2,52.3,1600,8.11074999,0,0.450597222,7.110500927,0.290697674,3415,0,15.2813965,4.331227,11.49425287,0,0,0
25807,25,2525807,2021,3,253,2021-3,171,25807003,25807253,258072021,25807-2021-3,52.3,1600,8.11074999,0,0.450597222,7.110500927,0.290697674,3415,0,14.5660645,5.729386,11.49425287,0,0,0
25807,25,2525807,2021,4,254,2021-4,172,25807004,25807254,258072021,25807-2021-4,52.3,1600,8.11074999,0,0.450597222,7.110500927,0.290697674,3415,0,14.9105469,4.832283,11.49425287,0,0,0
25807,25,2525807,2021,5,255,2021-5,173,25807005,25807255,258072021,25807-2021-5,52.3,1600,8.11074999,0,0.450597222,7.110500927,0.290697674,3415,0,14.7115723,7.803404,11.49425287,0,0,0
25807,25,2525807,2021,6,256,2021-6,174,25807006,25807256,258072021,25807-2021-6,52.3,1600,8.11074999,0,0.450597222,7.110500927,0.290697674,3415,0,14.478418,2.828038,11.49425287,0,0,0
25807,25,2525807,2021,7,257,2021-7,175,25807007,25807257,258072021,25807-2021-7,52.3,1600,8.11074999,0,0.450597222,7.110500927,0.290697674,3415,0,13.7455078,3.445644,11.49425287,0,0,0
